Learning Rate	Train Loss1	Train Loss2	
0.100000	0.974919	0.807816	
0.100000	1.270947	1.157560	
0.100000	0.945123	0.927538	
0.100000	1.021778	1.021709	
0.100000	0.848349	0.986650	
0.100000	1.147159	1.022581	
0.100000	0.880273	0.824293	
0.100000	0.860569	0.744795	
0.100000	0.847774	0.907052	
0.100000	0.756374	0.837436	
0.100000	0.918211	0.769177	
0.100000	1.039748	0.834154	
0.100000	0.977460	0.752367	
0.100000	0.997427	1.008036	
0.100000	1.090235	1.026071	
0.100000	0.976532	0.931829	
0.100000	1.057176	0.985504	
0.100000	0.801738	0.748278	
0.100000	0.864242	0.754697	
0.100000	0.907611	0.896477	
0.100000	0.768287	0.627567	
0.100000	1.116717	1.087726	
0.100000	1.522864	1.295744	
0.100000	0.967858	1.064803	
0.100000	0.807688	0.789966	
0.100000	1.262378	1.211404	
0.100000	0.774791	0.573586	
0.100000	1.063412	0.935606	
0.100000	0.897100	0.819081	
0.100000	1.048538	1.077447	
0.100000	0.671045	0.685418	
0.100000	1.172051	1.160340	
0.100000	0.928119	0.682841	
0.100000	0.936682	0.826444	
0.100000	1.556636	1.530758	
0.100000	1.035921	1.050579	
0.100000	1.051563	0.949726	
0.100000	0.884745	0.938690	
0.100000	0.866510	0.692057	
0.100000	1.158976	1.042499	
0.100000	1.035115	0.968317	
0.100000	1.153906	1.042266	
0.100000	1.234429	1.170640	
0.100000	0.903476	0.846483	
0.100000	1.017554	0.959548	
0.100000	0.959298	0.901981	
0.100000	0.982556	0.854952	
0.100000	0.985047	0.854522	
0.100000	1.111668	1.003226	
0.100000	1.056504	0.969502	
0.100000	1.106785	0.933944	
0.100000	0.898413	0.859689	
0.100000	1.057092	0.955804	
0.100000	1.005878	1.035872	
0.100000	0.956117	0.890990	
0.100000	1.041487	0.949020	
0.100000	0.772224	0.822007	
0.100000	1.039604	0.951448	
0.100000	1.110969	0.995487	
0.100000	0.754006	0.755198	
0.100000	0.858742	0.731820	
0.100000	1.012291	0.979142	
0.100000	0.856383	0.910198	
0.100000	0.967461	0.831099	
0.100000	0.925041	0.722414	
0.100000	0.932716	0.954601	
0.100000	1.084933	0.923493	
0.100000	0.945381	0.843049	
0.100000	0.816350	0.818389	
0.100000	0.877924	0.752741	
0.100000	0.859278	1.010029	
0.100000	0.869121	0.933527	
0.100000	1.365645	1.326685	
0.100000	0.989271	0.943846	
0.100000	0.911934	1.026893	
0.100000	1.067139	0.931904	
0.100000	0.883907	0.865280	
0.100000	0.948323	0.853684	
0.100000	0.943886	0.608350	
0.100000	1.041463	0.940693	
0.100000	0.945053	0.881429	
0.100000	0.747975	0.822550	
0.100000	1.143399	1.000686	
0.100000	0.855621	0.761236	
0.100000	1.068585	1.106361	
0.100000	0.857772	0.792832	
0.100000	0.910649	0.863853	
0.100000	1.489724	1.400210	
0.100000	0.824634	0.829402	
0.100000	0.897046	0.875082	
0.100000	0.828307	0.846238	
0.100000	0.906627	0.923796	
0.100000	0.823268	0.823965	
0.100000	1.006329	0.819216	
0.100000	1.236039	1.108655	
0.100000	0.735394	0.711362	
0.100000	0.669102	0.707283	
0.100000	1.089703	1.036663	
0.100000	1.008437	0.919768	
0.100000	1.226226	0.940664	
0.100000	0.936849	0.957833	
0.100000	0.903632	0.957182	
0.100000	0.907992	0.859929	
0.100000	0.760283	0.677670	
0.100000	0.889137	0.764373	
0.100000	0.910443	0.889046	
0.100000	1.210295	0.891864	
0.100000	0.885474	0.786722	
0.100000	0.854077	0.836230	
0.100000	1.165230	1.067168	
0.100000	1.035827	0.956089	
0.100000	0.843913	0.856815	
0.100000	1.062404	0.949125	
0.100000	0.643602	0.729888	
0.100000	1.110010	0.896861	
0.100000	0.822524	0.732212	
0.100000	0.987284	0.899130	
0.100000	1.298951	1.101924	
0.100000	0.791051	0.713754	
0.100000	0.897217	0.905276	
0.100000	0.925226	0.779976	
0.100000	0.945890	0.833137	
0.100000	0.992149	0.864684	
0.100000	1.302430	0.965305	
0.100000	0.997521	0.838096	
0.100000	0.875658	0.675042	
0.100000	1.038346	0.776952	
0.100000	1.106936	0.985531	
0.100000	0.915985	0.861861	
0.100000	1.475045	1.282953	
0.100000	1.004701	0.912771	
0.100000	0.990572	0.876769	
0.100000	0.938771	0.848073	
0.100000	1.038538	0.969136	
0.100000	0.805885	0.826662	
0.100000	0.893189	0.687032	
0.100000	0.841707	0.710489	
0.100000	1.386702	1.410279	
0.100000	0.881338	0.804912	
0.100000	1.259997	0.976548	
0.100000	1.293379	1.026413	
0.100000	0.887415	0.913042	
0.100000	0.860503	0.811036	
0.100000	1.008411	1.014706	
0.100000	0.805556	0.778958	
0.100000	0.745802	0.774413	
0.100000	1.014178	0.835762	
0.100000	0.964815	0.816687	
0.100000	1.069094	0.880875	
0.100000	0.845051	0.726475	
0.100000	0.827609	0.815364	
0.100000	0.800049	0.887688	
0.100000	0.841926	0.809593	
0.100000	0.804082	0.835799	
0.100000	0.911744	0.732834	
0.100000	1.380697	1.163291	
0.100000	0.862156	0.731281	
0.100000	0.883706	0.892825	
0.100000	1.271047	1.141742	
0.100000	0.971218	1.039333	
0.100000	0.883119	0.887637	
0.100000	0.903190	0.866497	
0.100000	0.941139	0.828600	
0.100000	1.100969	1.011744	
0.100000	1.038141	0.888073	
0.100000	1.098944	0.949418	
0.100000	1.047283	0.944377	
0.100000	0.954331	0.865828	
0.100000	0.877720	0.860264	
0.100000	1.103266	0.849012	
0.100000	1.020462	1.031026	
0.100000	1.278007	1.276582	
0.100000	0.894202	0.925640	
0.100000	1.404231	1.334934	
0.100000	0.976143	0.929062	
0.100000	0.817932	0.923054	
0.100000	0.750230	0.626577	
0.100000	0.929210	0.940984	
0.100000	1.603775	1.598354	
0.100000	0.873155	0.865695	
0.100000	0.952233	1.059380	
0.100000	0.941032	0.934126	
0.100000	0.832774	0.883848	
0.100000	1.065524	0.903100	
0.100000	1.008385	0.977897	
0.100000	1.148299	1.042196	
0.100000	0.687483	0.560982	
0.100000	1.354651	1.119381	
0.100000	0.854944	0.798990	
0.100000	0.932806	1.096564	
0.100000	0.880775	0.630901	
0.100000	0.969934	1.070897	
0.100000	0.884527	0.774279	
0.100000	1.413927	1.308970	
0.100000	0.958408	1.042972	
0.100000	1.048925	0.934865	
0.100000	1.341366	1.203919	
0.100000	1.542979	1.271777	
0.100000	0.934305	0.833079	
0.100000	0.978542	0.868820	
0.100000	1.126454	1.087856	
0.100000	0.826572	0.768013	
0.100000	0.837730	0.784232	
0.100000	0.815539	0.738097	
0.100000	0.903462	0.766340	
0.100000	0.934322	0.793633	
0.100000	1.149555	0.847933	
0.100000	0.845204	0.738906	
0.100000	1.369510	1.232846	
0.100000	0.803851	0.747468	
0.100000	1.291399	1.478846	
0.100000	1.443074	1.425370	
0.100000	0.961109	0.949967	
0.100000	0.875573	0.953893	
0.100000	0.928898	0.933123	
0.100000	0.922645	0.773313	
0.100000	1.017837	0.917888	
0.100000	0.841960	0.961223	
0.100000	0.935598	0.823038	
0.100000	0.877841	0.886160	
0.100000	0.811860	0.649178	
0.100000	0.875820	0.799083	
0.100000	1.100793	0.937345	
0.100000	0.819780	0.946941	
0.100000	0.871643	0.752271	
0.100000	0.775056	0.768028	
0.100000	0.650900	0.699812	
0.100000	1.007665	1.048208	
0.100000	0.823314	0.905868	
0.100000	0.848823	0.769104	
0.100000	1.253283	1.271023	
0.100000	0.835681	0.790481	
0.100000	0.855668	0.846024	
0.100000	0.822030	0.827545	
0.100000	0.706973	0.773668	
0.100000	0.885659	0.950452	
0.100000	0.965845	1.057224	
0.100000	0.849312	0.791718	
0.100000	0.887575	0.816516	
0.100000	0.847764	0.890273	
0.100000	0.722262	0.644245	
0.100000	0.645921	0.686790	
0.100000	0.954817	0.787005	
0.100000	0.731924	0.650741	
0.100000	1.021295	0.882817	
0.100000	1.057137	0.908592	
0.100000	1.178659	1.064830	
0.100000	0.927149	0.885715	
0.100000	0.923083	0.770476	
0.100000	0.965943	0.955769	
0.100000	0.811631	0.753651	
0.100000	1.414657	1.490026	
0.100000	0.955436	0.900787	
0.100000	0.919290	0.814358	
0.100000	0.804708	0.649349	
0.100000	1.152546	1.011663	
0.100000	1.341669	1.224607	
0.100000	1.053529	1.024671	
0.100000	0.793734	0.805466	
0.100000	1.319650	1.198337	
0.100000	0.988939	0.984723	
0.100000	1.100717	1.029075	
0.100000	1.130813	1.104930	
0.100000	0.921323	0.845220	
0.100000	0.973296	0.869885	
0.100000	0.847344	0.691895	
0.100000	0.960029	0.902743	
0.100000	0.925724	0.848269	
0.100000	1.008484	0.732343	
0.100000	1.239562	1.214067	
0.100000	0.900347	0.811338	
0.100000	1.379052	1.414090	
0.100000	0.770217	0.748575	
0.100000	1.161519	1.192671	
0.100000	0.773338	0.616448	
0.100000	0.891918	0.783350	
0.100000	0.943135	0.797818	
0.100000	1.022526	0.892857	
0.100000	1.231875	0.843878	
0.100000	0.786626	0.537666	
0.100000	0.915366	0.874823	
0.100000	0.815251	0.748398	
0.100000	0.986389	0.795470	
0.100000	1.006709	0.882577	
0.100000	0.898494	0.951295	
0.100000	1.522961	1.428600	
0.100000	0.850448	0.910013	
0.100000	1.014957	1.012662	
0.100000	0.932007	0.923468	
0.100000	0.961816	0.930187	
0.100000	0.907322	0.916462	
0.100000	1.015132	0.959878	
0.100000	0.847353	0.792875	
0.100000	1.198092	1.094082	
0.100000	0.828857	0.858274	
0.100000	0.797181	0.819290	
0.100000	0.907139	0.898131	
